/app/Repos/pandas/asv_bench/benchmarks/index_object.py,69,74,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,127,132,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,103,108,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,139,144,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,65,72,get_period_count,None,[self:Any;start_date:Any;off:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,134,141,get_period_count,None,[self:Any;start_date:Any;off:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,11,16,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,57,62,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,56,64,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,128,137,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,81,86,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,127,132,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,115,120,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,139,144,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,88,95,get_period_count,None,[self:Any;start_date:Any;off:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,134,141,get_period_count,None,[self:Any;start_date:Any;off:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,34,39,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,57,62,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,80,88,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,128,137,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,103,108,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,127,132,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,127,132,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,139,144,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,111,118,get_period_count,None,[self:Any;start_date:Any;off:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,134,141,get_period_count,None,[self:Any;start_date:Any;off:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,11,16,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,149,154,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,104,112,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,128,137,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,115,120,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,127,132,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,8,16,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,56,64,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,19,26,get_period_count,None,[self:Any;start_date:Any;off:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,226,233,get_period_count,None,[self:Any;start_date:Any;off:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,34,39,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,149,154,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,8,16,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,245,252,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,8,16,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,176,183,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,32,40,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,56,64,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,42,49,get_period_count,None,[self:Any;start_date:Any;off:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,226,233,get_period_count,None,[self:Any;start_date:Any;off:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,57,62,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,149,154,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,32,40,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,245,252,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,32,40,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,176,183,setup,None,[self:Any]
