group_id,group_size,avg_similarity,total_methods,deleted_count,deleted_ratio,is_fully_deleted,is_partially_deleted,is_surviving
484,3,88.33333333333333,3,0,0.0,False,False,True
264,4,74.0,4,0,0.0,False,False,True
1275,2,100.0,2,0,0.0,False,False,True
1247,2,78.0,2,0,0.0,False,False,True
1219,2,100.0,2,0,0.0,False,False,True
1279,2,77.0,2,0,0.0,False,False,True
1236,2,88.0,2,0,0.0,False,False,True
1296,2,78.0,2,0,0.0,False,False,True
263,4,71.0,4,0,0.0,False,False,True
1226,2,75.0,2,0,0.0,False,False,True
1287,2,79.0,2,0,0.0,False,False,True
487,3,71.66666666666667,4,0,0.0,False,False,True
1228,2,85.0,2,0,0.0,False,False,True
1243,2,89.0,2,0,0.0,False,False,True
1262,2,89.0,2,0,0.0,False,False,True
1225,2,81.0,2,0,0.0,False,False,True
1283,2,83.0,2,0,0.0,False,False,True
160,5,92.9,5,0,0.0,False,False,True
1229,2,75.0,2,0,0.0,False,False,True
1584,1,0.0,2,0,0.0,False,False,True
1281,2,88.0,2,0,0.0,False,False,True
489,3,80.66666666666667,3,0,0.0,False,False,True
46,9,74.9090909090909,9,0,0.0,False,False,True
1289,2,77.0,2,0,0.0,False,False,True
83,7,89.44444444444444,7,0,0.0,False,False,True
1298,2,85.0,2,0,0.0,False,False,True
1230,2,100.0,2,0,0.0,False,False,True
492,3,80.5,3,0,0.0,False,False,True
1288,2,83.0,2,0,0.0,False,False,True
110,6,82.16666666666667,6,6,1.0,True,False,False
1299,2,77.0,2,0,0.0,False,False,True
266,4,78.0,4,0,0.0,False,False,True
1232,2,74.0,2,0,0.0,False,False,True
1234,2,74.0,2,0,0.0,False,False,True
1246,2,85.0,2,0,0.0,False,False,True
1257,2,77.0,2,0,0.0,False,False,True
1241,2,98.0,2,0,0.0,False,False,True
1259,2,97.0,2,0,0.0,False,False,True
1245,2,71.0,2,0,0.0,False,False,True
1294,2,73.0,2,0,0.0,False,False,True
1249,2,100.0,2,0,0.0,False,False,True
269,4,79.33333333333333,4,0,0.0,False,False,True
1297,2,75.0,2,0,0.0,False,False,True
1277,2,72.0,2,0,0.0,False,False,True
481,3,89.0,3,0,0.0,False,False,True
1263,2,91.0,2,0,0.0,False,False,True
1290,2,100.0,2,0,0.0,False,False,True
485,3,94.0,3,0,0.0,False,False,True
1292,2,71.0,2,0,0.0,False,False,True
1291,2,71.0,2,0,0.0,False,False,True
1285,2,77.0,2,0,0.0,False,False,True
